product_id,name,price,categories,brand
ADV22150_UD,12 Kg Advance Cachorro Razas Grandes Pienso Puppy Large Breed,57.99,"Perro, Alimento Seco, AA, C - digital",Affinity Advance
ADV22157_UD,18 Kg Advance Adulto Razas Medianas Pienso Para Perros Medium Breed,67.99,"Perro, Alimento Seco, AAA, AA - digital",Affinity Advance
ADV22158_UD,18 Kg Advance Maxi Adult Razas Grandes Pienso Para Perros Adultos Large Breed,67.99,"Perro, Alimento Seco, AAA, AA - digital",Affinity Advance
ADV22162_UD,12 Kg Advance Cachorro Razas Medianas  Puppy Medium Breed,54.99,"Perro, Alimento Seco, AA, AA - digital",Affinity Advance
ADV22706_CM,Advance Sensitive Snack Premios Para Perros Sensibles Cuidado Intestinal Pack 7 Sobres 150grs.,20.95,"Perro, C, Snack Premio, AA - digital",Affinity Advance
ADV22706_UD,Advance Sensitive Snack Premios Para Perros Sensibles Cuidado Intestinal Pack 7 Sobres 150grs.,20.95,"Perro, C, Snack Premio, AA - digital",Affinity Advance
ADV22709_CM,Advance +7 Años Snack Senior Para Perros Mayores Pack 7 Sobres 150grs.,20.95,"Perro, C, Snack Premio, B - digital",Affinity Advance
ADV23522_UD,1.5 Kg. Advance Adulto Razas Pequeñas Pienso Para Perros Small Breed,11.99,"Perro, A, Alimento Seco, C - digital",Affinity Advance
ADV23523_UD,"1,5 Kg. Advance Cachorro Razas Pequeñas  Puppy Small Breed",12.99,"Perro, Alimento Seco, C - digital, B",Affinity Advance
ADV23524_UD,1.5 Kg. Advance Mini Adulto Sensitive Con Salmón Y Arroz Pienso Para Perros Adultos Small Breed,12.99,"Perro, Alimento Seco, F, C - digital",Affinity Advance
ADV23527_UD,1.5 Kg. Advance Adult +8 Años Razas Pequeñas Pienso Para Perros Mayores Senior Small Breed,12.99,"Perro, Alimento Seco, B - digital, B",Affinity Advance
ADV23530_UD,1.5 Kg. Advance Light Razas Pequeñas Pienso Para Perros Small Breed,12.99,"Perro, C, Alimento Seco, C - digital",Affinity Advance
ADV23531_UD,Advance Bulldog Francés Adult pienso para perro,21.95,"Perro, Alimento Seco, GEN",Affinity Advance
ADV23539_UD,14 Kg Advance Adult +6 Años Razas Grandes Pienso Para Perros Mayores Senior Large Breed,58.99,"Perro, Alimento Seco, B - digital, Z",Affinity Advance
ADV23540_UD,14 Kg Advance Junior Razas Grandes Pienso Para Perros. Junior Large Breed,58.99,"Perro, C, Alimento Seco, B - digital",Affinity Advance
ADV23541_UD,"7,5 Kg Advance Bulldog Francés Adult Pienso Para Perro",41.99,"Perro, Alimento Seco, B, AA - digital",Affinity Advance
ADV23544_UD,3 Kg. Advance Adulto Con Cordero Y Arroz Pienso Para Perros Adult Lamb & Rice,24.99,"Perro, A, Alimento Seco, C - digital",Affinity Advance
ADV23545_UD,14 Kg Advance Light Razas Grandes Pienso Para Perros Large Breed,58.99,"Perro, Alimento Seco, Z, AA - digital",Affinity Advance
ADV23917_UD,10 Kg Advance Adulto Pollo Y Arroz Pienso Para Gatos Adultos Chicken & Rice,49.99,"Gato, Alimento Seco, AA, AA - digital",Affinity Advance
ADV23986_UD,10 Kg Advance Kitten Pollo Y Arroz Pienso Para Gatitos Chicken & Rice,51.99,"A, Gato, Alimento Seco, C - digital",Affinity Advance
ADV26241_UD,1.5 Kg. Advance Adulto Pollo Y Arroz Pienso Para Gatos Adultos Chicken & Rice,14.79,"A, Gato, Alimento Seco, C - digital",Affinity Advance
ADV93930_UD,6.36 Kg Advance Arena Aglomerante Multiperformance De Alto Rendimiento Para Gatos,15.99,"Gato, F, C - digital, Litter",Affinity Advance
ALN33557_UD,ALBANA Razas Grandes Adulto Pollo y Arroz 15 Kg,23.59,"Perro, Alimento Seco",Albana
ALN37672_UD,ALBANA Adulto Razas Medianas Pollo y Arroz 15 Kg,25.95,"Perro, Alimento Seco, 1.PER",Albana
ALN37673_UD,ALBANA Adulto Todas las Razas Cordero y Arroz 20 Kg,38.95,"Perro, Alimento Seco, GEN",Albana
ALN44916_UD,"ALBANAPRO Agapornis y Ninfas 5,5 litros",10.95,"Pajaro, Alimento Menu, GEN",Albana
ALN70153_UD,"ALBANA Comida Loros alta energia 2,5 kg",14.95,"Pajaro, Alimento Menu, GEN",Albana
ALP31011_UD,ALPHA SPIRIT Puppies Pienso Semihumedo Cachorros 9Kg,44.95,"Perro, Alimento Humedo, GEN",Alpha Spirit
ALP31013_UD,Alpha Spirit Multiprotein Pienso Perro Semihumedo Caja 9 Kg Con 45 Tarrinas Monodosis,55.95,"Perro, AAA - digital, Alimento Seco, D",Alpha Spirit
ALP31014_UD,Alpha Spirit Free Wild Fish Pienso Perro Semihumedo Caja 9 Kg Con 45 Tarrinas Monodosis,55.95,"Perro, AAA - digital, Alimento Seco, D",Alpha Spirit
ALP31017_UD,Alpha Spirit Adulto Monoproteico Pescado Semihúmedo en Monodosis,14.32,"Perro, Alimento Seco",Alpha Spirit
ALP31023_UD,3 Kg. Alpha Spirit Puppy Multiproteico,25.95,"Perro, C, Alimento Seco, C - digital",Alpha Spirit
ALP31024_UD,3 Kg. Alpha Spirit Adulto Multiproteico Only One,21.95,"Perro, Alimento Seco, C - digital, B",Alpha Spirit
ALP31025_UD,3 Kg. Alpha Spirit Only One Adulto Pescado,25.95,"Perro, Alimento Seco, C - digital, B",Alpha Spirit
ALP31026_UD,3 Kg. Alpha Spirit Only One Adulto Pato,25.95,"Perro, C, Alimento Seco, C - digital",Alpha Spirit
ALP31027_UD,12 Kg Alpha Spirit Puppy Multiproteico,63.95,"Perro, A, Alimento Seco, AA - digital",Alpha Spirit
ALP31028_UD,12 Kg Alpha Spirit Adulto Multiproteico Only One,63.95,"Perro, A, AAA - digital, Alimento Seco",Alpha Spirit
ALP31029_UD,12 Kg Alpha Spirit Only One Adulto Pescado,63.95,"Perro, AAA - digital, Alimento Seco, AA",Alpha Spirit
ALP31030_UD,12 Kg Alpha Spirit Only One Adulto Pato,63.95,"Perro, Alimento Seco, AA, AA - digital",Alpha Spirit
ALP31031_UD,12 Kg Alpha Spirit Adulto 7 Days Pienso Para Perros,53.95,"Perro, C, AAA - digital, Alimento Seco",Alpha Spirit
ALP31034_UD,12 Kg Alpha Spirit Pienso Para Perros Free Range Poultry Con Aves De Corral,63.95,"Perro, A, AAA - digital, Alimento Seco",Alpha Spirit
ALP31048_CM,12 x 16 ristras Alpha Spirit Pack De Sticks De Jamón Ibérico Para Perros 12 X 16 Ristras,25.95,"Perro, C, Snack Premio, C - digital",Alpha Spirit
ALP31049_CM,12 x 16 ristras Pack Alpha Spirit De Sticks De Pavo Para Perros 12 X 16 Ristras,25.95,"Perro, C, Snack Premio, B - digital",Alpha Spirit
ALP31049_UD,12 x 16 ristras Pack Alpha Spirit De Sticks De Pavo Para Perros 12 X 16 Ristras,25.95,"Perro, C, Snack Premio, B - digital",Alpha Spirit
ALP57651_CM,Alpha Spirit Albóndigas De Cordero Y Comino Para Perro 12 Unidades De 400gr,29.95,"Perro, C, C - digital, Alimento Humedo",Alpha Spirit
ALP57651_UD,Alpha Spirit Albóndigas De Cordero Y Comino Para Perro 12 Unidades De 400gr,29.95,"Perro, C, C - digital, Alimento Humedo",Alpha Spirit
ALP57659_CM,12 x 16 ristras Pack Alpha Spirit De Sticks De Hígado Para Perros 12 X 16 Ristras,25.95,"Perro, C, Snack Premio, C - digital",Alpha Spirit
ALP57659_UD,12 x 16 ristras Pack Alpha Spirit De Sticks De Hígado Para Perros 12 X 16 Ristras,25.95,"Perro, C, Snack Premio, C - digital",Alpha Spirit
